a,1,No authors that the critics have recommended in their reviews have ever received acknowledgment for a best-selling novel.,Was it the critics who wrote the reviews?,0
b,1,The authors that no critics have recommended in their reviews have ever received acknowledgment for a best-selling novel.,Was it the critics who wrote the reviews?,0
c,1,The authors that the critics haven't recommended in their reviews have ever received acknowledgment for a best-selling novel.,Was it the critics who wrote the reviews?,0
d,1,The authors that the critics have recommended in their reviews have ever received acknowledgment for a best-selling novel.,Was it the critics who wrote the reviews?,0
a,2,No soldiers that the diplomats have supported in the trial have ever shown respect to the war victims.,Were the victims injured in an industrial accident?,1
b,2,The soldiers that no diplomats have supported in the trial have ever shown respect to the war victims.,Were the victims injured in an industrial accident?,1
c,2,The soldiers that the diplomats haven't supported in the trial have ever shown respect to the war victims.,Were the victims injured in an industrial accident?,1
d,2,The soldiers that the diplomats have supported in the trial have ever shown respect to the war victims.,Were the victims injured in an industrial accident?,1
a,3,No ambassadors that the diplomats have consulted about the treaty have ever seen brutality in the foreign war.,Was the war a domestic war?,1
b,3,The ambassadors that no diplomats have consulted about the treaty have ever seen brutality in the foreign war.,Was the war a domestic war?,1
c,3,The ambassadors that the diplomats haven't consulted about the treaty have ever seen brutality in the foreign war.,Was the war a domestic war?,1
d,3,The ambassadors that the diplomats have consulted about the treaty have ever seen brutality in the foreign war.,Was the war a domestic war?,1
a,4,No professors that the students have challenged over low grades have ever wanted negativity in a class debate.,Were there debates in the class?,0
b,4,The professors that no students have challenged over low grades have ever wanted negativity in a class debate.,Were there debates in the class?,0
c,4,The professors that the students haven't challenged over low grades have ever wanted negativity in a class debate.,Were there debates in the class?,0
d,4,The professors that the students have challenged over low grades have ever wanted negativity in a class debate.,Were there debates in the class?,0
a,5,No customers that the salesmen have assisted in the outlet have ever expressed optimism for a full refund.,Were the refunds full refunds?,0
b,5,The customers that no salesmen have assisted in the outlet have ever expressed optimism for a full refund.,Were the refunds full refunds?,0
c,5,The customers that the salesmen haven't assisted in the outlet have ever expressed optimism for a full refund.,Were the refunds full refunds?,0
d,5,The customers that the salesmen have assisted in the outlet have ever expressed optimism for a full refund.,Were the refunds full refunds?,0
